Departamento,Municipio,"Total, Cabecera, Centro poblado y Rural disperso",Total viviendas ocupadas con personas presentes,Total,Energía electrica SI,Energía electrica NO,Total.1,Acueducto SI,Acueducto NO,Total.2,Alcantarillado SI,Alcantarillado NO,Total.3,Gas natural conectado a red pública SI,Gas natural conectado a red pública NO,Gas natural conectado a red pública NA,Total.4,Recolección de basuras SI,Recolección de basuras NO,Total.5,Internet SI,Internet NO,Internet NA
Total Nacional,Total Nacional,Total,13480729.0,13480729.0,12984126.0,496603.0,13480729.0,11644158.0,1836571.0,13480729.0,10321871.0,3158858.0,13480729.0,8998911.0,4365784.0,116034.0,13480729.0,10994034.0,2486695.0,13480729.0,5857149.0,7500779.0,122801.0
Total Nacional,Total Nacional,Cabecera,10567475.0,10567475.0,10485896.0,81579.0,10567475.0,10140175.0,427300.0,10567475.0,9781253.0,786222.0,10567475.0,8591893.0,1877008.0,98574.0,10567475.0,10218161.0,349314.0,10567475.0,5663192.0,4803284.0,100999.0
Total Nacional,Total Nacional,Centro poblado,884407.0,884407.0,846754.0,37653.0,884407.0,654863.0,229544.0,884407.0,385916.0,498491.0,884407.0,297542.0,581860.0,5005.0,884407.0,504473.0,379934.0,884407.0,105894.0,772516.0,5997.0
Total Nacional,Total Nacional,Rural disperso,2028847.0,2028847.0,1651476.0,377371.0,2028847.0,849120.0,1179727.0,2028847.0,154702.0,1874145.0,2028847.0,109476.0,1906916.0,12455.0,2028847.0,271400.0,1757447.0,2028847.0,88063.0,1924979.0,15805.0
05_Antioquia,001_Medellín,Total municipal,798063.0,798063.0,794197.0,3866.0,798063.0,785215.0,12848.0,798063.0,775334.0,22729.0,798063.0,612660.0,179248.0,6155.0,798063.0,789247.0,8816.0,798063.0,528711.0,263142.0,6210.0
05_Antioquia,001_Medellín,Cabecera,784666.0,784666.0,781064.0,3602.0,784666.0,774611.0,10055.0,784666.0,770951.0,13715.0,784666.0,611248.0,167418.0,6000.0,784666.0,778468.0,6198.0,784666.0,524089.0,254526.0,6051.0
05_Antioquia,001_Medellín,Centro poblado,6626.0,6626.0,6581.0,45.0,6626.0,5824.0,802.0,6626.0,2639.0,3987.0,6626.0,1016.0,5574.0,36.0,6626.0,6328.0,298.0,6626.0,2599.0,3991.0,36.0
05_Antioquia,001_Medellín,Rural disperso,6771.0,6771.0,6552.0,219.0,6771.0,4780.0,1991.0,6771.0,1744.0,5027.0,6771.0,396.0,6256.0,119.0,6771.0,4451.0,2320.0,6771.0,2023.0,4625.0,123.0
05_Antioquia,002_Abejorral,Total municipal,5935.0,5935.0,5876.0,59.0,5935.0,4073.0,1862.0,5935.0,2590.0,3345.0,5935.0,1476.0,4450.0,9.0,5935.0,2577.0,3358.0,5935.0,1136.0,4790.0,9.0
05_Antioquia,002_Abejorral,Cabecera,2500.0,2500.0,2481.0,19.0,2500.0,2455.0,45.0,2500.0,2399.0,101.0,2500.0,1452.0,1040.0,8.0,2500.0,2467.0,33.0,2500.0,917.0,1575.0,8.0
05_Antioquia,002_Abejorral,Centro poblado,140.0,140.0,139.0,1.0,140.0,139.0,1.0,140.0,124.0,16.0,140.0,14.0,126.0,0.0,140.0,69.0,71.0,140.0,22.0,118.0,0.0
05_Antioquia,002_Abejorral,Rural disperso,3295.0,3295.0,3256.0,39.0,3295.0,1479.0,1816.0,3295.0,67.0,3228.0,3295.0,10.0,3284.0,1.0,3295.0,41.0,3254.0,3295.0,197.0,3097.0,1.0
05_Antioquia,004_Abriaquí,Total municipal,738.0,738.0,699.0,39.0,738.0,484.0,254.0,738.0,376.0,362.0,738.0,53.0,682.0,3.0,738.0,314.0,424.0,738.0,76.0,659.0,3.0
05_Antioquia,004_Abriaquí,Cabecera,289.0,289.0,284.0,5.0,289.0,283.0,6.0,289.0,282.0,7.0,289.0,48.0,240.0,1.0,289.0,279.0,10.0,289.0,71.0,217.0,1.0
05_Antioquia,004_Abriaquí,Centro poblado,29.0,29.0,28.0,1.0,29.0,25.0,4.0,29.0,23.0,6.0,29.0,1.0,28.0,0.0,29.0,1.0,28.0,29.0,1.0,28.0,0.0
05_Antioquia,004_Abriaquí,Rural disperso,420.0,420.0,387.0,33.0,420.0,176.0,244.0,420.0,71.0,349.0,420.0,4.0,414.0,2.0,420.0,34.0,386.0,420.0,4.0,414.0,2.0
