Departamento,Municipio,Areas,"Total, Cabecera, Centro poblado, Rural disperso y tipos de vivienda",Total,"Mármol, parqué, madera pulida o lacada","Baldosa, vinilo, tableta, ladrillo, laminado",Alfombra,"Cemento, gravilla","Madera burda, tabla, tablón, otro vegetal","Tierra, arena, barro"
Total Nacional,Total Nacional,Total,Total,13480729.0,536437.0,8010604.0,33522.0,3491925.0,415052.0,993189.0
Total Nacional,Total Nacional,Total,Casa,8294422.0,233716.0,4122918.0,11134.0,2814699.0,328251.0,783704.0
Total Nacional,Total Nacional,Total,Apartamento,4414534.0,289442.0,3576120.0,21219.0,472786.0,37525.0,17442.0
Total Nacional,Total Nacional,Total,Tipo cuarto,590621.0,12588.0,306200.0,1067.0,187492.0,19506.0,63768.0
Total Nacional,Total Nacional,Total,Vivienda tradicional indígena,152809.0,177.0,975.0,24.0,12767.0,24652.0,114214.0
Total Nacional,Total Nacional,Total,Vivienda tradicional étnica,9896.0,94.0,653.0,8.0,1453.0,3733.0,3955.0
Total Nacional,Total Nacional,Total,Otro tipo de vivienda (1),18447.0,420.0,3738.0,70.0,2728.0,1385.0,10106.0
Total Nacional,Total Nacional,Cabecera,Total,10567475.0,508675.0,7467163.0,32125.0,2147350.0,166584.0,245578.0
Total Nacional,Total Nacional,Cabecera,Casa,5754320.0,209022.0,3656477.0,9946.0,1567930.0,115519.0,195426.0
Total Nacional,Total Nacional,Cabecera,Apartamento,4309825.0,287133.0,3516996.0,21126.0,435500.0,35426.0,13644.0
Total Nacional,Total Nacional,Cabecera,Tipo cuarto,483548.0,12035.0,290049.0,1005.0,140412.0,13748.0,26299.0
Total Nacional,Total Nacional,Cabecera,Vivienda tradicional indígena,6864.0,35.0,335.0,3.0,1243.0,722.0,4526.0
Total Nacional,Total Nacional,Cabecera,Vivienda tradicional étnica,1942.0,75.0,498.0,2.0,439.0,431.0,497.0
Total Nacional,Total Nacional,Cabecera,Otro tipo de vivienda (1),10976.0,375.0,2808.0,43.0,1826.0,738.0,5186.0
Total Nacional,Total Nacional,Centro poblado,Total,884407.0,12245.0,242589.0,451.0,446838.0,42806.0,139478.0
Total Nacional,Total Nacional,Centro poblado,Casa,763083.0,10290.0,192497.0,383.0,399749.0,38888.0,121276.0
Total Nacional,Total Nacional,Centro poblado,Apartamento,73251.0,1637.0,41727.0,43.0,26716.0,991.0,2137.0
Total Nacional,Total Nacional,Centro poblado,Tipo cuarto,37707.0,286.0,7944.0,17.0,18688.0,1478.0,9294.0
Total Nacional,Total Nacional,Centro poblado,Vivienda tradicional indígena,7532.0,13.0,105.0,3.0,1093.0,744.0,5574.0
Total Nacional,Total Nacional,Centro poblado,Vivienda tradicional étnica,1550.0,9.0,84.0,1.0,334.0,619.0,503.0
Total Nacional,Total Nacional,Centro poblado,Otro tipo de vivienda (1),1284.0,10.0,232.0,4.0,258.0,86.0,694.0
Total Nacional,Total Nacional,Rural disperso,Total,2028847.0,15517.0,300852.0,946.0,897737.0,205662.0,608133.0
Total Nacional,Total Nacional,Rural disperso,Casa,1777019.0,14404.0,273944.0,805.0,847020.0,173844.0,467002.0
Total Nacional,Total Nacional,Rural disperso,Apartamento,31458.0,672.0,17397.0,50.0,10570.0,1108.0,1661.0
