Departamento,Municipio,Area,Total,1,2,3,4,5,>6
Total Nacional,Total Nacional,Total,13480729.0,12905596.0,441212.0,99034.0,24000.0,6862.0,4025.0
Total Nacional,Total Nacional,Cabecera,10567475.0,10149585.0,317127.0,73661.0,18379.0,5434.0,3289.0
Total Nacional,Total Nacional,Centro poblado,884407.0,834215.0,39862.0,8210.0,1579.0,370.0,171.0
Total Nacional,Total Nacional,Rural disperso,2028847.0,1921796.0,84223.0,17163.0,4042.0,1058.0,565.0
05_Antioquia,001_Medellín,Total municipal,798063.0,785094.0,10123.0,2008.0,494.0,178.0,166.0
05_Antioquia,001_Medellín,Cabecera,784666.0,771771.0,10058.0,2002.0,492.0,177.0,166.0
05_Antioquia,001_Medellín,Centro poblado,6626.0,6599.0,23.0,2.0,1.0,1.0,0.0
05_Antioquia,001_Medellín,Rural disperso,6771.0,6724.0,42.0,4.0,1.0,0.0,0.0
05_Antioquia,002_Abejorral,Total municipal,5935.0,5859.0,65.0,7.0,2.0,2.0,0.0
05_Antioquia,002_Abejorral,Cabecera,2500.0,2455.0,36.0,5.0,2.0,2.0,0.0
05_Antioquia,002_Abejorral,Centro poblado,140.0,136.0,4.0,0.0,0.0,0.0,0.0
05_Antioquia,002_Abejorral,Rural disperso,3295.0,3268.0,25.0,2.0,0.0,0.0,0.0
05_Antioquia,004_Abriaquí,Total municipal,738.0,702.0,34.0,2.0,0.0,0.0,0.0
05_Antioquia,004_Abriaquí,Cabecera,289.0,281.0,8.0,0.0,0.0,0.0,0.0
05_Antioquia,004_Abriaquí,Centro poblado,29.0,25.0,4.0,0.0,0.0,0.0,0.0
05_Antioquia,004_Abriaquí,Rural disperso,420.0,396.0,22.0,2.0,0.0,0.0,0.0
05_Antioquia,021_Alejandría,Total municipal,1371.0,1362.0,7.0,0.0,2.0,0.0,0.0
05_Antioquia,021_Alejandría,Cabecera,810.0,802.0,6.0,0.0,2.0,0.0,0.0
05_Antioquia,021_Alejandría,Rural disperso,561.0,560.0,1.0,0.0,0.0,0.0,0.0
05_Antioquia,030_Amagá,Total municipal,8725.0,8592.0,111.0,18.0,4.0,0.0,0.0
05_Antioquia,030_Amagá,Cabecera,4220.0,4167.0,43.0,7.0,3.0,0.0,0.0
05_Antioquia,030_Amagá,Centro poblado,2612.0,2575.0,30.0,7.0,0.0,0.0,0.0
05_Antioquia,030_Amagá,Rural disperso,1893.0,1850.0,38.0,4.0,1.0,0.0,0.0
05_Antioquia,031_Amalfi,Total municipal,6570.0,6376.0,168.0,18.0,8.0,0.0,0.0
05_Antioquia,031_Amalfi,Cabecera,3803.0,3686.0,103.0,7.0,7.0,0.0,0.0
05_Antioquia,031_Amalfi,Centro poblado,65.0,64.0,1.0,0.0,0.0,0.0,0.0
05_Antioquia,031_Amalfi,Rural disperso,2702.0,2626.0,64.0,11.0,1.0,0.0,0.0
05_Antioquia,034_Andes,Total municipal,12078.0,11937.0,124.0,11.0,6.0,0.0,0.0
05_Antioquia,034_Andes,Cabecera,6123.0,6007.0,101.0,9.0,6.0,0.0,0.0
05_Antioquia,034_Andes,Centro poblado,1131.0,1122.0,8.0,1.0,0.0,0.0,0.0
05_Antioquia,034_Andes,Rural disperso,4824.0,4808.0,15.0,1.0,0.0,0.0,0.0
05_Antioquia,036_Angelópolis,Total municipal,1716.0,1710.0,6.0,0.0,0.0,0.0,0.0
05_Antioquia,036_Angelópolis,Cabecera,703.0,699.0,4.0,0.0,0.0,0.0,0.0
05_Antioquia,036_Angelópolis,Centro poblado,322.0,322.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,036_Angelópolis,Rural disperso,691.0,689.0,2.0,0.0,0.0,0.0,0.0
05_Antioquia,038_Angostura,Total municipal,3134.0,2972.0,146.0,12.0,4.0,0.0,0.0
05_Antioquia,038_Angostura,Cabecera,835.0,811.0,18.0,4.0,2.0,0.0,0.0
05_Antioquia,038_Angostura,Centro poblado,123.0,118.0,5.0,0.0,0.0,0.0,0.0
05_Antioquia,038_Angostura,Rural disperso,2176.0,2043.0,123.0,8.0,2.0,0.0,0.0
05_Antioquia,040_Anorí,Total municipal,4597.0,4475.0,105.0,12.0,5.0,0.0,0.0
05_Antioquia,040_Anorí,Cabecera,2220.0,2158.0,52.0,5.0,5.0,0.0,0.0
05_Antioquia,040_Anorí,Centro poblado,189.0,182.0,6.0,1.0,0.0,0.0,0.0
05_Antioquia,040_Anorí,Rural disperso,2188.0,2135.0,47.0,6.0,0.0,0.0,0.0
05_Antioquia,042_Santa Fé De Antioquia,Total municipal,7702.0,7394.0,251.0,44.0,10.0,3.0,0.0
05_Antioquia,042_Santa Fé De Antioquia,Cabecera,5331.0,5047.0,228.0,44.0,9.0,3.0,0.0
05_Antioquia,042_Santa Fé De Antioquia,Centro poblado,206.0,202.0,3.0,0.0,1.0,0.0,0.0
05_Antioquia,042_Santa Fé De Antioquia,Rural disperso,2165.0,2145.0,20.0,0.0,0.0,0.0,0.0
05_Antioquia,044_Anzá,Total municipal,2096.0,2080.0,15.0,1.0,0.0,0.0,0.0
05_Antioquia,044_Anzá,Cabecera,456.0,448.0,7.0,1.0,0.0,0.0,0.0
05_Antioquia,044_Anzá,Centro poblado,253.0,252.0,1.0,0.0,0.0,0.0,0.0
05_Antioquia,044_Anzá,Rural disperso,1387.0,1380.0,7.0,0.0,0.0,0.0,0.0
05_Antioquia,045_Apartadó,Total municipal,34590.0,33397.0,964.0,196.0,27.0,2.0,4.0
05_Antioquia,045_Apartadó,Cabecera,28287.0,27245.0,839.0,175.0,22.0,2.0,4.0
05_Antioquia,045_Apartadó,Centro poblado,3985.0,3875.0,90.0,17.0,3.0,0.0,0.0
05_Antioquia,045_Apartadó,Rural disperso,2318.0,2277.0,35.0,4.0,2.0,0.0,0.0
05_Antioquia,051_Arboletes,Total municipal,7273.0,6907.0,311.0,50.0,4.0,1.0,0.0
05_Antioquia,051_Arboletes,Cabecera,2818.0,2627.0,150.0,37.0,3.0,1.0,0.0
05_Antioquia,051_Arboletes,Centro poblado,727.0,698.0,28.0,1.0,0.0,0.0,0.0
05_Antioquia,051_Arboletes,Rural disperso,3728.0,3582.0,133.0,12.0,1.0,0.0,0.0
05_Antioquia,055_Argelia,Total municipal,2245.0,2227.0,15.0,3.0,0.0,0.0,0.0
05_Antioquia,055_Argelia,Cabecera,1110.0,1096.0,12.0,2.0,0.0,0.0,0.0
05_Antioquia,055_Argelia,Rural disperso,1135.0,1131.0,3.0,1.0,0.0,0.0,0.0
05_Antioquia,059_Armenia,Total municipal,1373.0,1196.0,153.0,22.0,1.0,1.0,0.0
05_Antioquia,059_Armenia,Cabecera,512.0,438.0,63.0,9.0,1.0,1.0,0.0
05_Antioquia,059_Armenia,Centro poblado,75.0,59.0,12.0,4.0,0.0,0.0,0.0
05_Antioquia,059_Armenia,Rural disperso,786.0,699.0,78.0,9.0,0.0,0.0,0.0
05_Antioquia,079_Barbosa,Total municipal,15915.0,15737.0,145.0,29.0,4.0,0.0,0.0
05_Antioquia,079_Barbosa,Cabecera,7204.0,7158.0,36.0,9.0,1.0,0.0,0.0
05_Antioquia,079_Barbosa,Centro poblado,1906.0,1889.0,14.0,3.0,0.0,0.0,0.0
05_Antioquia,079_Barbosa,Rural disperso,6805.0,6690.0,95.0,17.0,3.0,0.0,0.0
05_Antioquia,086_Belmira,Total municipal,1542.0,1523.0,18.0,0.0,1.0,0.0,0.0
05_Antioquia,086_Belmira,Cabecera,497.0,489.0,8.0,0.0,0.0,0.0,0.0
05_Antioquia,086_Belmira,Centro poblado,89.0,89.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,086_Belmira,Rural disperso,956.0,945.0,10.0,0.0,1.0,0.0,0.0
05_Antioquia,088_Bello,Total municipal,155029.0,149639.0,4436.0,751.0,157.0,32.0,14.0
05_Antioquia,088_Bello,Cabecera,148141.0,142968.0,4257.0,722.0,151.0,29.0,14.0
05_Antioquia,088_Bello,Centro poblado,3996.0,3876.0,95.0,18.0,4.0,3.0,0.0
05_Antioquia,088_Bello,Rural disperso,2892.0,2795.0,84.0,11.0,2.0,0.0,0.0
05_Antioquia,091_Betania,Total municipal,2593.0,2533.0,52.0,6.0,2.0,0.0,0.0
05_Antioquia,091_Betania,Cabecera,1128.0,1104.0,20.0,3.0,1.0,0.0,0.0
05_Antioquia,091_Betania,Centro poblado,26.0,23.0,3.0,0.0,0.0,0.0,0.0
05_Antioquia,091_Betania,Rural disperso,1439.0,1406.0,29.0,3.0,1.0,0.0,0.0
05_Antioquia,093_Betulia,Total municipal,4709.0,4665.0,43.0,1.0,0.0,0.0,0.0
05_Antioquia,093_Betulia,Cabecera,1414.0,1402.0,12.0,0.0,0.0,0.0,0.0
05_Antioquia,093_Betulia,Centro poblado,354.0,351.0,3.0,0.0,0.0,0.0,0.0
