Departamento,Municipio,"Total, Cabecera, Centro poblado, Rural disperso",Total viviendas ocupadas con personas presentes,Inodoro conectado al alcantarillado*,Inodoro conectado a pozo séptico,Inodoro sin conexión,Letrina,Inodoro con descarga directa a fuentes de agua (bajamar),No tiene servicio sanitario,Sin información
Total Nacional,Total Nacional,Total,13480729.0,10108773.0,2168639.0,201052.0,93754.0,235863.0,556420.0,116228.0
Total Nacional,Total Nacional,Cabecera,10567475.0,9620078.0,616066.0,40972.0,15204.0,105104.0,72261.0,97790.0
Total Nacional,Total Nacional,Centro poblado,884407.0,368202.0,361745.0,18921.0,13490.0,34107.0,82867.0,5075.0
Total Nacional,Total Nacional,Rural disperso,2028847.0,120493.0,1190828.0,141159.0,65060.0,96652.0,401292.0,13363.0
05_Antioquia,001_Medellín,Total municipal,798063.0,764289.0,17862.0,943.0,110.0,7906.0,864.0,6089.0
05_Antioquia,001_Medellín,Cabecera,784666.0,760949.0,9909.0,862.0,78.0,6150.0,780.0,5938.0
05_Antioquia,001_Medellín,Centro poblado,6626.0,2322.0,3013.0,17.0,5.0,1223.0,10.0,36.0
05_Antioquia,001_Medellín,Rural disperso,6771.0,1018.0,4940.0,64.0,27.0,533.0,74.0,115.0
05_Antioquia,002_Abejorral,Total municipal,5935.0,2493.0,2041.0,1241.0,18.0,119.0,14.0,9.0
05_Antioquia,002_Abejorral,Cabecera,2500.0,2369.0,34.0,12.0,0.0,75.0,2.0,8.0
05_Antioquia,002_Abejorral,Centro poblado,140.0,101.0,32.0,5.0,0.0,2.0,0.0,0.0
05_Antioquia,002_Abejorral,Rural disperso,3295.0,23.0,1975.0,1224.0,18.0,42.0,12.0,1.0
05_Antioquia,004_Abriaquí,Total municipal,738.0,340.0,109.0,21.0,11.0,237.0,17.0,3.0
05_Antioquia,004_Abriaquí,Cabecera,289.0,276.0,7.0,3.0,1.0,0.0,1.0,1.0
05_Antioquia,004_Abriaquí,Centro poblado,29.0,3.0,0.0,1.0,0.0,25.0,0.0,0.0
05_Antioquia,004_Abriaquí,Rural disperso,420.0,61.0,102.0,17.0,10.0,212.0,16.0,2.0
05_Antioquia,021_Alejandría,Total municipal,1371.0,792.0,528.0,17.0,4.0,20.0,3.0,7.0
05_Antioquia,021_Alejandría,Cabecera,810.0,790.0,9.0,0.0,1.0,4.0,0.0,6.0
05_Antioquia,021_Alejandría,Rural disperso,561.0,2.0,519.0,17.0,3.0,16.0,3.0,1.0
05_Antioquia,030_Amagá,Total municipal,8725.0,7607.0,562.0,98.0,18.0,363.0,65.0,12.0
05_Antioquia,030_Amagá,Cabecera,4220.0,4055.0,33.0,7.0,1.0,92.0,23.0,9.0
05_Antioquia,030_Amagá,Centro poblado,2612.0,2346.0,92.0,10.0,0.0,133.0,29.0,2.0
05_Antioquia,030_Amagá,Rural disperso,1893.0,1206.0,437.0,81.0,17.0,138.0,13.0,1.0
05_Antioquia,031_Amalfi,Total municipal,6570.0,3677.0,753.0,262.0,57.0,1608.0,199.0,14.0
05_Antioquia,031_Amalfi,Cabecera,3803.0,3635.0,39.0,28.0,4.0,82.0,4.0,11.0
