Departamento,Municipio,"Total, Cabecera, Centro poblado y Rural disperso)",Perosnas en hogares particulares,Sin servicio de energía eléctrica,No tiene,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,No sabe o no responde
Total Nacional,Total Nacional,Total,43835324.0,1728788.0,405411.0,16167618.0,14137367.0,7997384.0,2093697.0,789266.0,428676.0,87117.0
Total Nacional,Total Nacional,Cabecera,33905550.0,261271.0,137385.0,10266016.0,12152634.0,7820818.0,2050020.0,764316.0,405532.0,47558.0
Total Nacional,Total Nacional,Centro poblado,3121127.0,125832.0,67300.0,2245509.0,592845.0,50840.0,13121.0,7561.0,8253.0,9866.0
Total Nacional,Total Nacional,Rural disperso,6808647.0,1341685.0,200726.0,3656093.0,1391888.0,125726.0,30556.0,17389.0,14891.0,29693.0
05_Antioquia,05001_Medellín,Total,2359801.0,10399.0,5456.0,342441.0,871165.0,685602.0,207743.0,148912.0,86241.0,1842.0
05_Antioquia,05001_Medellín,Cabecera,2320248.0,9717.0,5031.0,336331.0,842479.0,682898.0,207260.0,148698.0,86054.0,1780.0
05_Antioquia,05001_Medellín,Centro poblado,19989.0,122.0,220.0,1747.0,16401.0,1284.0,168.0,20.0,6.0,21.0
05_Antioquia,05001_Medellín,Rural disperso,19564.0,560.0,205.0,4363.0,12285.0,1420.0,315.0,194.0,181.0,41.0
05_Antioquia,05002_Abejorral,Total,17573.0,130.0,487.0,8091.0,8405.0,433.0,4.0,3.0,0.0,20.0
05_Antioquia,05002_Abejorral,Cabecera,6931.0,22.0,30.0,2221.0,4300.0,337.0,1.0,0.0,0.0,20.0
05_Antioquia,05002_Abejorral,Centro poblado,437.0,1.0,2.0,208.0,223.0,0.0,0.0,3.0,0.0,0.0
05_Antioquia,05002_Abejorral,Rural disperso,10205.0,107.0,455.0,5662.0,3882.0,96.0,3.0,0.0,0.0,0.0
05_Antioquia,05004_Abriaquí,Total,2141.0,108.0,12.0,681.0,1197.0,132.0,1.0,6.0,4.0,0.0
05_Antioquia,05004_Abriaquí,Cabecera,708.0,6.0,2.0,76.0,562.0,55.0,0.0,6.0,1.0,0.0
05_Antioquia,05004_Abriaquí,Centro poblado,90.0,4.0,0.0,56.0,29.0,1.0,0.0,0.0,0.0,0.0
05_Antioquia,05004_Abriaquí,Rural disperso,1343.0,98.0,10.0,549.0,606.0,76.0,1.0,0.0,3.0,0.0
05_Antioquia,05021_Alejandría,Total,3826.0,37.0,98.0,1065.0,2331.0,283.0,8.0,2.0,1.0,1.0
05_Antioquia,05021_Alejandría,Cabecera,2202.0,10.0,13.0,261.0,1651.0,264.0,3.0,0.0,0.0,0.0
05_Antioquia,05021_Alejandría,Rural disperso,1624.0,27.0,85.0,804.0,680.0,19.0,5.0,2.0,1.0,1.0
05_Antioquia,05030_Amagá,Total,26687.0,267.0,68.0,10043.0,15030.0,1116.0,90.0,46.0,5.0,22.0
05_Antioquia,05030_Amagá,Cabecera,12938.0,35.0,16.0,1625.0,10546.0,689.0,15.0,6.0,0.0,6.0
05_Antioquia,05030_Amagá,Centro poblado,8089.0,138.0,27.0,4176.0,3660.0,70.0,8.0,0.0,0.0,10.0
05_Antioquia,05030_Amagá,Rural disperso,5660.0,94.0,25.0,4242.0,824.0,357.0,67.0,40.0,5.0,6.0
05_Antioquia,05031_Amalfi,Total,20141.0,1533.0,189.0,8077.0,6432.0,3828.0,48.0,12.0,13.0,9.0
05_Antioquia,05031_Amalfi,Cabecera,11591.0,50.0,19.0,3081.0,4928.0,3477.0,15.0,8.0,4.0,9.0
05_Antioquia,05031_Amalfi,Centro poblado,212.0,6.0,0.0,122.0,73.0,11.0,0.0,0.0,0.0,0.0
05_Antioquia,05031_Amalfi,Rural disperso,8338.0,1477.0,170.0,4874.0,1431.0,340.0,33.0,4.0,9.0,0.0
05_Antioquia,05034_Andes,Total,37027.0,447.0,291.0,10015.0,23857.0,2252.0,105.0,11.0,11.0,38.0
05_Antioquia,05034_Andes,Cabecera,18099.0,32.0,168.0,6167.0,9930.0,1698.0,64.0,10.0,7.0,23.0
05_Antioquia,05034_Andes,Centro poblado,3428.0,12.0,85.0,841.0,2422.0,58.0,0.0,0.0,0.0,10.0
05_Antioquia,05034_Andes,Rural disperso,15500.0,403.0,38.0,3007.0,11505.0,496.0,41.0,1.0,4.0,5.0
05_Antioquia,05036_Angelópolis,Total,5013.0,46.0,18.0,2103.0,2541.0,298.0,3.0,0.0,0.0,4.0
05_Antioquia,05036_Angelópolis,Cabecera,1962.0,11.0,0.0,352.0,1342.0,256.0,1.0,0.0,0.0,0.0
05_Antioquia,05036_Angelópolis,Centro poblado,976.0,11.0,0.0,408.0,540.0,17.0,0.0,0.0,0.0,0.0
05_Antioquia,05036_Angelópolis,Rural disperso,2075.0,24.0,18.0,1343.0,659.0,25.0,2.0,0.0,0.0,4.0
05_Antioquia,05038_Angostura,Total,10500.0,170.0,79.0,6250.0,3328.0,552.0,5.0,2.0,4.0,110.0
05_Antioquia,05038_Angostura,Cabecera,2369.0,8.0,5.0,641.0,1243.0,434.0,1.0,2.0,0.0,35.0
05_Antioquia,05038_Angostura,Centro poblado,393.0,0.0,15.0,29.0,292.0,57.0,0.0,0.0,0.0,0.0
05_Antioquia,05038_Angostura,Rural disperso,7738.0,162.0,59.0,5580.0,1793.0,61.0,4.0,0.0,4.0,75.0
05_Antioquia,05040_Anorí,Total,14477.0,1391.0,45.0,7063.0,4963.0,969.0,3.0,3.0,0.0,40.0
05_Antioquia,05040_Anorí,Cabecera,7031.0,247.0,17.0,1853.0,3964.0,911.0,2.0,3.0,0.0,34.0
05_Antioquia,05040_Anorí,Centro poblado,596.0,8.0,4.0,577.0,7.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,05040_Anorí,Rural disperso,6850.0,1136.0,24.0,4633.0,992.0,58.0,1.0,0.0,0.0,6.0
05_Antioquia,05042_Santa Fé De Antioquia,Total,22966.0,375.0,37.0,10876.0,8803.0,2207.0,288.0,280.0,87.0,13.0
05_Antioquia,05042_Santa Fé De Antioquia,Cabecera,15278.0,153.0,25.0,4892.0,7839.0,2038.0,218.0,100.0,5.0,8.0
05_Antioquia,05042_Santa Fé De Antioquia,Centro poblado,698.0,22.0,1.0,572.0,100.0,3.0,0.0,0.0,0.0,0.0
05_Antioquia,05042_Santa Fé De Antioquia,Rural disperso,6990.0,200.0,11.0,5412.0,864.0,166.0,70.0,180.0,82.0,5.0
05_Antioquia,05044_Anzá,Total,6386.0,210.0,31.0,3665.0,2092.0,374.0,0.0,0.0,0.0,14.0
05_Antioquia,05044_Anzá,Cabecera,1180.0,5.0,1.0,341.0,522.0,306.0,0.0,0.0,0.0,5.0
05_Antioquia,05044_Anzá,Centro poblado,802.0,12.0,1.0,306.0,459.0,24.0,0.0,0.0,0.0,0.0
05_Antioquia,05044_Anzá,Rural disperso,4404.0,193.0,29.0,3018.0,1111.0,44.0,0.0,0.0,0.0,9.0
05_Antioquia,05045_Apartadó,Total,112396.0,595.0,404.0,63891.0,32690.0,12564.0,1923.0,161.0,8.0,160.0
05_Antioquia,05045_Apartadó,Cabecera,91731.0,262.0,118.0,45041.0,31691.0,12451.0,1896.0,158.0,8.0,106.0
05_Antioquia,05045_Apartadó,Centro poblado,13399.0,72.0,27.0,12770.0,449.0,33.0,10.0,0.0,0.0,38.0
05_Antioquia,05045_Apartadó,Rural disperso,7266.0,261.0,259.0,6080.0,550.0,80.0,17.0,3.0,0.0,16.0
05_Antioquia,05051_Arboletes,Total,26279.0,286.0,145.0,21705.0,3665.0,436.0,13.0,4.0,2.0,23.0
05_Antioquia,05051_Arboletes,Cabecera,9613.0,87.0,64.0,5612.0,3455.0,370.0,0.0,2.0,2.0,21.0
05_Antioquia,05051_Arboletes,Centro poblado,2516.0,29.0,16.0,2429.0,40.0,1.0,0.0,0.0,0.0,1.0
05_Antioquia,05051_Arboletes,Rural disperso,14150.0,170.0,65.0,13664.0,170.0,65.0,13.0,2.0,0.0,1.0
05_Antioquia,05055_Argelia,Total,6733.0,131.0,201.0,5191.0,1096.0,64.0,1.0,3.0,2.0,44.0
05_Antioquia,05055_Argelia,Cabecera,2973.0,32.0,89.0,2128.0,682.0,34.0,1.0,3.0,2.0,2.0
05_Antioquia,05055_Argelia,Rural disperso,3760.0,99.0,112.0,3063.0,414.0,30.0,0.0,0.0,0.0,42.0
05_Antioquia,05059_Armenia,Total,3817.0,48.0,0.0,735.0,2493.0,526.0,7.0,8.0,0.0,0.0
05_Antioquia,05059_Armenia,Cabecera,1359.0,5.0,0.0,125.0,773.0,446.0,2.0,8.0,0.0,0.0
05_Antioquia,05059_Armenia,Centro poblado,264.0,4.0,0.0,85.0,170.0,5.0,0.0,0.0,0.0,0.0
05_Antioquia,05059_Armenia,Rural disperso,2194.0,39.0,0.0,525.0,1550.0,75.0,5.0,0.0,0.0,0.0
05_Antioquia,05079_Barbosa,Total,44621.0,210.0,199.0,8153.0,32738.0,2939.0,177.0,107.0,58.0,40.0
05_Antioquia,05079_Barbosa,Cabecera,21469.0,97.0,29.0,2796.0,16336.0,2160.0,21.0,9.0,0.0,21.0
05_Antioquia,05079_Barbosa,Centro poblado,5507.0,31.0,51.0,1343.0,3921.0,150.0,4.0,7.0,0.0,0.0
05_Antioquia,05079_Barbosa,Rural disperso,17645.0,82.0,119.0,4014.0,12481.0,629.0,152.0,91.0,58.0,19.0
05_Antioquia,05086_Belmira,Total,5349.0,56.0,6.0,1096.0,3629.0,546.0,13.0,1.0,0.0,2.0
05_Antioquia,05086_Belmira,Cabecera,1602.0,15.0,3.0,209.0,1261.0,112.0,0.0,0.0,0.0,2.0
05_Antioquia,05086_Belmira,Centro poblado,266.0,0.0,0.0,52.0,185.0,29.0,0.0,0.0,0.0,0.0
