Departamento,Municipio,"Total, Cabecera, Centro poblado y Rural disperso) y tipo de vivienda",Total.1,"Bloque, ladrillo, piedra, madera pulida.1",Concreto vaciado.1,Material prefabricado.1,Guadua.1,"Tapia pisada, bahareque, adobe.1","Madera burda, tabla, tablón.1","Caña, esterilla, otros vegetales.1","Materiales de desecho (Zinc, tela, cartón, latas, plásticos, otros).1",Sin paredes.1
Total Nacional,Total Nacional,Total,10567475.0,9411667.0,581897.0,73890.0,9431.0,181439.0,233689.0,23979.0,50708.0,775.0
Total Nacional,Total Nacional,Casa,5754320.0,5075857.0,229931.0,44539.0,7573.0,144825.0,197148.0,19163.0,35231.0,53.0
Total Nacional,Total Nacional,Apartamento,4309825.0,3910338.0,333590.0,25620.0,472.0,21256.0,15424.0,1259.0,1863.0,3.0
Total Nacional,Total Nacional,Tipo cuarto,483548.0,420290.0,17707.0,3366.0,795.0,13106.0,17977.0,2300.0,8004.0,3.0
Total Nacional,Total Nacional,Vivienda tradicional indígena,6864.0,841.0,64.0,99.0,419.0,1882.0,1270.0,875.0,1253.0,161.0
Total Nacional,Total Nacional,Vivienda tradicional étnica,1942.0,759.0,105.0,31.0,34.0,140.0,521.0,82.0,236.0,34.0
Total Nacional,Total Nacional,Otro tipo de vivienda (1),10976.0,3582.0,500.0,235.0,138.0,230.0,1349.0,300.0,4121.0,521.0
05_Antioquia,001_Medellín,Total,784666.0,681193.0,85883.0,4124.0,28.0,7710.0,5373.0,55.0,278.0,22.0
05_Antioquia,001_Medellín,Casa,309250.0,275522.0,23890.0,2536.0,19.0,3325.0,3766.0,33.0,159.0,0.0
05_Antioquia,001_Medellín,Apartamento,455140.0,388803.0,60221.0,1426.0,8.0,3771.0,868.0,8.0,35.0,0.0
05_Antioquia,001_Medellín,Tipo cuarto,19731.0,16556.0,1750.0,158.0,1.0,600.0,610.0,10.0,46.0,0.0
05_Antioquia,001_Medellín,Vivienda tradicional indígena,54.0,15.0,0.0,2.0,0.0,2.0,26.0,1.0,0.0,8.0
05_Antioquia,001_Medellín,Vivienda tradicional étnica,67.0,49.0,4.0,0.0,0.0,2.0,11.0,0.0,1.0,0.0
05_Antioquia,001_Medellín,Otro tipo de vivienda (1),424.0,248.0,18.0,2.0,0.0,10.0,92.0,3.0,37.0,14.0
05_Antioquia,002_Abejorral,Total,2500.0,758.0,56.0,14.0,3.0,1659.0,8.0,1.0,1.0,0.0
05_Antioquia,002_Abejorral,Casa,2115.0,632.0,38.0,14.0,3.0,1422.0,5.0,1.0,0.0,0.0
05_Antioquia,002_Abejorral,Apartamento,335.0,111.0,15.0,0.0,0.0,208.0,1.0,0.0,0.0,0.0
05_Antioquia,002_Abejorral,Tipo cuarto,47.0,13.0,3.0,0.0,0.0,29.0,1.0,0.0,1.0,0.0
05_Antioquia,002_Abejorral,Vivienda tradicional indígena,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
05_Antioquia,002_Abejorral,Otro tipo de vivienda (1),2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,004_Abriaquí,Total,289.0,191.0,45.0,7.0,1.0,43.0,2.0,0.0,0.0,0.0
05_Antioquia,004_Abriaquí,Casa,221.0,143.0,33.0,6.0,0.0,38.0,1.0,0.0,0.0,0.0
05_Antioquia,004_Abriaquí,Apartamento,56.0,40.0,12.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
05_Antioquia,004_Abriaquí,Tipo cuarto,11.0,8.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
05_Antioquia,004_Abriaquí,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,021_Alejandría,Total,810.0,760.0,14.0,1.0,0.0,31.0,3.0,0.0,1.0,0.0
05_Antioquia,021_Alejandría,Casa,326.0,294.0,6.0,0.0,0.0,24.0,2.0,0.0,0.0,0.0
05_Antioquia,021_Alejandría,Apartamento,471.0,455.0,8.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0
05_Antioquia,021_Alejandría,Tipo cuarto,12.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
05_Antioquia,021_Alejandría,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
05_Antioquia,030_Amagá,Total,4220.0,3734.0,216.0,24.0,1.0,237.0,7.0,0.0,1.0,0.0
05_Antioquia,030_Amagá,Casa,1684.0,1386.0,65.0,19.0,0.0,212.0,2.0,0.0,0.0,0.0
05_Antioquia,030_Amagá,Apartamento,2449.0,2268.0,151.0,4.0,1.0,22.0,3.0,0.0,0.0,0.0
05_Antioquia,030_Amagá,Tipo cuarto,87.0,80.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0
05_Antioquia,030_Amagá,Vivienda tradicional indígena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,030_Amagá,Otro tipo de vivienda (1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,031_Amalfi,Total,3803.0,3480.0,33.0,7.0,0.0,176.0,92.0,1.0,14.0,0.0
05_Antioquia,031_Amalfi,Casa,2746.0,2485.0,12.0,4.0,0.0,160.0,85.0,0.0,0.0,0.0
05_Antioquia,031_Amalfi,Apartamento,997.0,956.0,21.0,2.0,0.0,15.0,2.0,0.0,1.0,0.0
05_Antioquia,031_Amalfi,Tipo cuarto,44.0,38.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0
05_Antioquia,031_Amalfi,Vivienda tradicional étnica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
