Departamento,Municipio,"Total, Cabecera, Centro poblado y Rural disperso) y tipo de vivienda",Total.2,"Bloque, ladrillo, piedra, madera pulida.2",Concreto vaciado.2,Material prefabricado.2,Guadua.2,"Tapia pisada, bahareque, adobe.2","Madera burda, tabla, tablón.2","Caña, esterilla, otros vegetales.2","Materiales de desecho (Zinc, tela, cartón, latas, plásticos, otros).2",Sin paredes.2
Total Nacional,Total Nacional,Total,884407.0,630164.0,19002.0,10987.0,5493.0,80185.0,111178.0,16779.0,10198.0,421.0
Total Nacional,Total Nacional,Casa,763083.0,540409.0,15405.0,9756.0,4756.0,70855.0,101043.0,12978.0,7812.0,69.0
Total Nacional,Total Nacional,Apartamento,73251.0,63961.0,2779.0,740.0,66.0,2524.0,2759.0,215.0,207.0,0.0
Total Nacional,Total Nacional,Tipo cuarto,37707.0,24437.0,674.0,407.0,406.0,4043.0,5503.0,900.0,1337.0,0.0
Total Nacional,Total Nacional,Vivienda tradicional indígena,7532.0,736.0,70.0,32.0,219.0,2481.0,915.0,2492.0,334.0,253.0
Total Nacional,Total Nacional,Vivienda tradicional étnica,1550.0,260.0,25.0,9.0,20.0,248.0,804.0,139.0,42.0,3.0
Total Nacional,Total Nacional,Otro tipo de vivienda (1),1284.0,361.0,49.0,43.0,26.0,34.0,154.0,55.0,466.0,96.0
05_Antioquia,001_Medellín,Total,6626.0,5887.0,118.0,209.0,2.0,271.0,129.0,3.0,7.0,0.0
05_Antioquia,001_Medellín,Casa,5656.0,5011.0,77.0,191.0,2.0,253.0,114.0,3.0,5.0,0.0
05_Antioquia,001_Medellín,Apartamento,903.0,825.0,39.0,16.0,0.0,12.0,11.0,0.0,0.0,0.0
05_Antioquia,001_Medellín,Tipo cuarto,64.0,51.0,2.0,2.0,0.0,5.0,3.0,0.0,1.0,0.0
05_Antioquia,001_Medellín,Vivienda tradicional indígena,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
05_Antioquia,001_Medellín,Vivienda tradicional étnica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,001_Medellín,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
05_Antioquia,002_Abejorral,Total,140.0,30.0,0.0,1.0,0.0,109.0,0.0,0.0,0.0,0.0
05_Antioquia,002_Abejorral,Casa,138.0,29.0,0.0,1.0,0.0,108.0,0.0,0.0,0.0,0.0
05_Antioquia,002_Abejorral,Apartamento,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,002_Abejorral,Tipo cuarto,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
05_Antioquia,002_Abejorral,Vivienda tradicional indígena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,002_Abejorral,Otro tipo de vivienda (1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,004_Abriaquí,Total,29.0,27.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
05_Antioquia,004_Abriaquí,Casa,29.0,27.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
05_Antioquia,004_Abriaquí,Apartamento,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,004_Abriaquí,Tipo cuarto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,004_Abriaquí,Otro tipo de vivienda (1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,021_Alejandría,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,021_Alejandría,Casa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,021_Alejandría,Apartamento,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,021_Alejandría,Tipo cuarto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,021_Alejandría,Otro tipo de vivienda (1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,030_Amagá,Total,2612.0,1375.0,226.0,19.0,0.0,939.0,44.0,1.0,8.0,0.0
05_Antioquia,030_Amagá,Casa,2239.0,1151.0,181.0,19.0,0.0,840.0,40.0,1.0,7.0,0.0
05_Antioquia,030_Amagá,Apartamento,334.0,202.0,42.0,0.0,0.0,87.0,3.0,0.0,0.0,0.0
05_Antioquia,030_Amagá,Tipo cuarto,37.0,21.0,3.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0
05_Antioquia,030_Amagá,Vivienda tradicional indígena,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,030_Amagá,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
05_Antioquia,031_Amalfi,Total,65.0,55.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0
05_Antioquia,031_Amalfi,Casa,62.0,52.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0
05_Antioquia,031_Amalfi,Apartamento,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,031_Amalfi,Tipo cuarto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,031_Amalfi,Vivienda tradicional étnica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,031_Amalfi,Otro tipo de vivienda (1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,034_Andes,Total,1131.0,841.0,18.0,1.0,0.0,245.0,25.0,0.0,1.0,0.0
05_Antioquia,034_Andes,Casa,868.0,629.0,14.0,1.0,0.0,202.0,21.0,0.0,1.0,0.0
05_Antioquia,034_Andes,Apartamento,220.0,182.0,1.0,0.0,0.0,35.0,2.0,0.0,0.0,0.0
05_Antioquia,034_Andes,Tipo cuarto,41.0,29.0,2.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0
05_Antioquia,034_Andes,Vivienda tradicional indígena,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,034_Andes,Otro tipo de vivienda (1),1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,036_Angelópolis,Total,322.0,216.0,3.0,3.0,0.0,93.0,6.0,0.0,1.0,0.0
05_Antioquia,036_Angelópolis,Casa,296.0,204.0,2.0,3.0,0.0,84.0,3.0,0.0,0.0,0.0
05_Antioquia,036_Angelópolis,Apartamento,20.0,11.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0
05_Antioquia,036_Angelópolis,Tipo cuarto,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
05_Antioquia,036_Angelópolis,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
05_Antioquia,038_Angostura,Total,123.0,31.0,0.0,0.0,0.0,88.0,4.0,0.0,0.0,0.0
05_Antioquia,038_Angostura,Casa,99.0,26.0,0.0,0.0,0.0,69.0,4.0,0.0,0.0,0.0
05_Antioquia,038_Angostura,Apartamento,20.0,4.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
05_Antioquia,038_Angostura,Tipo cuarto,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
05_Antioquia,038_Angostura,Otro tipo de vivienda (1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,040_Anorí,Total,189.0,52.0,0.0,0.0,0.0,1.0,133.0,0.0,3.0,0.0
05_Antioquia,040_Anorí,Casa,164.0,47.0,0.0,0.0,0.0,1.0,115.0,0.0,1.0,0.0
05_Antioquia,040_Anorí,Apartamento,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,040_Anorí,Tipo cuarto,25.0,5.0,0.0,0.0,0.0,0.0,18.0,0.0,2.0,0.0
05_Antioquia,040_Anorí,Vivienda tradicional indígena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,040_Anorí,Otro tipo de vivienda (1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,042_Santa Fé De Antioquia,Total,206.0,109.0,8.0,0.0,2.0,78.0,9.0,0.0,0.0,0.0
05_Antioquia,042_Santa Fé De Antioquia,Casa,186.0,97.0,3.0,0.0,2.0,75.0,9.0,0.0,0.0,0.0
05_Antioquia,042_Santa Fé De Antioquia,Apartamento,18.0,10.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
05_Antioquia,042_Santa Fé De Antioquia,Tipo cuarto,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,042_Santa Fé De Antioquia,Vivienda tradicional étnica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,042_Santa Fé De Antioquia,Otro tipo de vivienda (1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,044_Anzá,Total,253.0,207.0,3.0,5.0,0.0,34.0,2.0,2.0,0.0,0.0
05_Antioquia,044_Anzá,Casa,236.0,191.0,3.0,5.0,0.0,34.0,2.0,1.0,0.0,0.0
05_Antioquia,044_Anzá,Apartamento,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
