Departamento,Municipio,"Total, Cabecera, Centro poblado y Rural disperso) y tipo de vivienda",Total.3,"Bloque, ladrillo, piedra, madera pulida.3",Concreto vaciado.3,Material prefabricado.3,Guadua.3,"Tapia pisada, bahareque, adobe.3","Madera burda, tabla, tablón.3","Caña, esterilla, otros vegetales.3","Materiales de desecho (Zinc, tela, cartón, latas, plásticos, otros).3",Sin paredes.3
Total Nacional,Total Nacional,Total,2028847.0,963465.0,22578.0,26843.0,30486.0,458589.0,420720.0,53836.0,45153.0,7177.0
Total Nacional,Total Nacional,Casa,1777019.0,900377.0,19299.0,23127.0,16393.0,390045.0,371226.0,31762.0,23797.0,993.0
Total Nacional,Total Nacional,Apartamento,31458.0,24411.0,1896.0,620.0,49.0,2175.0,1970.0,148.0,188.0,1.0
Total Nacional,Total Nacional,Tipo cuarto,69366.0,30133.0,1004.0,1052.0,935.0,15761.0,14810.0,2452.0,3207.0,12.0
Total Nacional,Total Nacional,Vivienda tradicional indígena,138413.0,7268.0,279.0,1873.0,12593.0,49229.0,28781.0,18642.0,14656.0,5092.0
Total Nacional,Total Nacional,Vivienda tradicional étnica,6404.0,325.0,24.0,31.0,409.0,1087.0,3311.0,521.0,576.0,120.0
Total Nacional,Total Nacional,Otro tipo de vivienda (1),6187.0,951.0,76.0,140.0,107.0,292.0,622.0,311.0,2729.0,959.0
05_Antioquia,001_Medellín,Total,6771.0,5437.0,130.0,197.0,12.0,647.0,317.0,6.0,24.0,1.0
05_Antioquia,001_Medellín,Casa,6165.0,4961.0,75.0,180.0,11.0,625.0,291.0,5.0,17.0,0.0
05_Antioquia,001_Medellín,Apartamento,480.0,398.0,50.0,12.0,0.0,12.0,8.0,0.0,0.0,0.0
05_Antioquia,001_Medellín,Tipo cuarto,105.0,70.0,4.0,5.0,1.0,9.0,14.0,0.0,2.0,0.0
05_Antioquia,001_Medellín,Vivienda tradicional indígena,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
05_Antioquia,001_Medellín,Vivienda tradicional étnica,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
05_Antioquia,001_Medellín,Otro tipo de vivienda (1),14.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0
05_Antioquia,002_Abejorral,Total,3295.0,938.0,3.0,8.0,2.0,2310.0,33.0,1.0,0.0,0.0
05_Antioquia,002_Abejorral,Casa,3279.0,930.0,3.0,8.0,1.0,2306.0,30.0,1.0,0.0,0.0
05_Antioquia,002_Abejorral,Apartamento,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
05_Antioquia,002_Abejorral,Tipo cuarto,9.0,4.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0
