Departamento,Municipio,"Total, Cabecera, Centro poblado y Rural disperso) y tipo de vivienda",Total,"Bloque, ladrillo, piedra, madera pulida",Concreto vaciado,Material prefabricado,Guadua,"Tapia pisada, bahareque, adobe","Madera burda, tabla, tablón","Caña, esterilla, otros vegetales","Materiales de desecho (Zinc, tela, cartón, latas, plásticos, otros)",Sin paredes
Total Nacional,Total Nacional,Total,13480729.0,11005296.0,623477.0,111720.0,45410.0,720213.0,765587.0,94594.0,106059.0,8373.0
Total Nacional,Total Nacional,Casa,8294422.0,6516643.0,264635.0,77422.0,28722.0,605725.0,669417.0,63903.0,66840.0,1115.0
Total Nacional,Total Nacional,Apartamento,4414534.0,3998710.0,338265.0,26980.0,587.0,25955.0,20153.0,1622.0,2258.0,4.0
Total Nacional,Total Nacional,Tipo cuarto,590621.0,474860.0,19385.0,4825.0,2136.0,32910.0,38290.0,5652.0,12548.0,15.0
Total Nacional,Total Nacional,Vivienda tradicional indígena,152809.0,8845.0,413.0,2004.0,13231.0,53592.0,30966.0,22009.0,16243.0,5506.0
Total Nacional,Total Nacional,Vivienda tradicional étnica,9896.0,1344.0,154.0,71.0,463.0,1475.0,4636.0,742.0,854.0,157.0
Total Nacional,Total Nacional,Otro tipo de vivienda (1),18447.0,4894.0,625.0,418.0,271.0,556.0,2125.0,666.0,7316.0,1576.0
05_Antioquia,001_Medellín,Total,798063.0,692517.0,86131.0,4530.0,42.0,8628.0,5819.0,64.0,309.0,23.0
05_Antioquia,001_Medellín,Casa,321071.0,285494.0,24042.0,2907.0,32.0,4203.0,4171.0,41.0,181.0,0.0
05_Antioquia,001_Medellín,Apartamento,456523.0,390026.0,60310.0,1454.0,8.0,3795.0,887.0,8.0,35.0,0.0
05_Antioquia,001_Medellín,Tipo cuarto,19900.0,16677.0,1756.0,165.0,2.0,614.0,627.0,10.0,49.0,0.0
05_Antioquia,001_Medellín,Vivienda tradicional indígena,60.0,17.0,1.0,2.0,0.0,4.0,26.0,1.0,1.0,8.0
05_Antioquia,001_Medellín,Vivienda tradicional étnica,70.0,50.0,4.0,0.0,0.0,2.0,12.0,0.0,1.0,1.0
05_Antioquia,001_Medellín,Otro tipo de vivienda (1),439.0,253.0,18.0,2.0,0.0,10.0,96.0,4.0,42.0,14.0
05_Antioquia,002_Abejorral,Total,5935.0,1726.0,59.0,23.0,5.0,4078.0,41.0,2.0,1.0,0.0
05_Antioquia,002_Abejorral,Casa,5532.0,1591.0,41.0,23.0,4.0,3836.0,35.0,2.0,0.0,0.0
05_Antioquia,002_Abejorral,Apartamento,341.0,116.0,15.0,0.0,0.0,209.0,1.0,0.0,0.0,0.0
05_Antioquia,002_Abejorral,Tipo cuarto,57.0,17.0,3.0,0.0,0.0,33.0,3.0,0.0,1.0,0.0
05_Antioquia,002_Abejorral,Vivienda tradicional indígena,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
05_Antioquia,002_Abejorral,Otro tipo de vivienda (1),4.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
05_Antioquia,004_Abriaquí,Total,738.0,471.0,47.0,10.0,2.0,98.0,108.0,0.0,2.0,0.0
05_Antioquia,004_Abriaquí,Casa,663.0,421.0,35.0,9.0,1.0,92.0,104.0,0.0,1.0,0.0
05_Antioquia,004_Abriaquí,Apartamento,56.0,40.0,12.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
05_Antioquia,004_Abriaquí,Tipo cuarto,18.0,10.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0
05_Antioquia,004_Abriaquí,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,021_Alejandría,Total,1371.0,1193.0,14.0,9.0,0.0,97.0,56.0,0.0,2.0,0.0
05_Antioquia,021_Alejandría,Casa,875.0,719.0,6.0,8.0,0.0,89.0,53.0,0.0,0.0,0.0
05_Antioquia,021_Alejandría,Apartamento,479.0,462.0,8.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0
05_Antioquia,021_Alejandría,Tipo cuarto,16.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
05_Antioquia,021_Alejandría,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
05_Antioquia,030_Amagá,Total,8725.0,6226.0,497.0,63.0,5.0,1844.0,75.0,3.0,12.0,0.0
05_Antioquia,030_Amagá,Casa,5726.0,3612.0,295.0,58.0,2.0,1683.0,64.0,2.0,10.0,0.0
05_Antioquia,030_Amagá,Apartamento,2850.0,2507.0,197.0,4.0,1.0,134.0,7.0,0.0,0.0,0.0
05_Antioquia,030_Amagá,Tipo cuarto,143.0,106.0,5.0,1.0,0.0,27.0,2.0,0.0,2.0,0.0
05_Antioquia,030_Amagá,Vivienda tradicional indígena,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,030_Amagá,Otro tipo de vivienda (1),5.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0
05_Antioquia,031_Amalfi,Total,6570.0,4353.0,34.0,34.0,5.0,469.0,1467.0,8.0,199.0,1.0
05_Antioquia,031_Amalfi,Casa,5159.0,3329.0,13.0,31.0,5.0,445.0,1272.0,5.0,59.0,0.0
05_Antioquia,031_Amalfi,Apartamento,1038.0,974.0,21.0,2.0,0.0,18.0,21.0,0.0,2.0,0.0
05_Antioquia,031_Amalfi,Tipo cuarto,201.0,49.0,0.0,1.0,0.0,6.0,123.0,2.0,20.0,0.0
05_Antioquia,031_Amalfi,Vivienda tradicional étnica,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
05_Antioquia,031_Amalfi,Otro tipo de vivienda (1),171.0,1.0,0.0,0.0,0.0,0.0,50.0,1.0,118.0,1.0
05_Antioquia,034_Andes,Total,12078.0,10436.0,374.0,25.0,8.0,1017.0,186.0,4.0,28.0,0.0
05_Antioquia,034_Andes,Casa,8090.0,6736.0,273.0,19.0,7.0,886.0,152.0,2.0,15.0,0.0
05_Antioquia,034_Andes,Apartamento,3665.0,3463.0,93.0,5.0,0.0,99.0,4.0,1.0,0.0,0.0
05_Antioquia,034_Andes,Tipo cuarto,281.0,233.0,7.0,0.0,1.0,32.0,5.0,1.0,2.0,0.0
05_Antioquia,034_Andes,Vivienda tradicional indígena,36.0,1.0,0.0,1.0,0.0,0.0,25.0,0.0,9.0,0.0
05_Antioquia,034_Andes,Otro tipo de vivienda (1),6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
05_Antioquia,036_Angelópolis,Total,1716.0,1178.0,29.0,21.0,0.0,439.0,44.0,0.0,5.0,0.0
05_Antioquia,036_Angelópolis,Casa,1360.0,917.0,18.0,20.0,0.0,363.0,39.0,0.0,3.0,0.0
05_Antioquia,036_Angelópolis,Apartamento,339.0,255.0,11.0,1.0,0.0,70.0,2.0,0.0,0.0,0.0
05_Antioquia,036_Angelópolis,Tipo cuarto,14.0,5.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0
05_Antioquia,036_Angelópolis,Otro tipo de vivienda (1),3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
05_Antioquia,038_Angostura,Total,3134.0,1275.0,59.0,13.0,2.0,1755.0,24.0,3.0,3.0,0.0
05_Antioquia,038_Angostura,Casa,2883.0,1106.0,48.0,8.0,1.0,1696.0,22.0,2.0,0.0,0.0
05_Antioquia,038_Angostura,Apartamento,204.0,152.0,11.0,3.0,1.0,36.0,0.0,1.0,0.0,0.0
05_Antioquia,038_Angostura,Tipo cuarto,43.0,16.0,0.0,2.0,0.0,22.0,2.0,0.0,1.0,0.0
05_Antioquia,038_Angostura,Otro tipo de vivienda (1),4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
05_Antioquia,040_Anorí,Total,4597.0,2815.0,42.0,44.0,11.0,297.0,1285.0,2.0,101.0,0.0
05_Antioquia,040_Anorí,Casa,3547.0,1989.0,29.0,32.0,5.0,282.0,1169.0,1.0,40.0,0.0
05_Antioquia,040_Anorí,Apartamento,775.0,736.0,10.0,12.0,0.0,11.0,6.0,0.0,0.0,0.0
05_Antioquia,040_Anorí,Tipo cuarto,263.0,90.0,3.0,0.0,0.0,4.0,105.0,1.0,60.0,0.0
05_Antioquia,040_Anorí,Vivienda tradicional indígena,10.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0
05_Antioquia,040_Anorí,Otro tipo de vivienda (1),2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
05_Antioquia,042_Santa Fé De Antioquia,Total,7702.0,4429.0,171.0,91.0,14.0,2862.0,113.0,4.0,16.0,2.0
05_Antioquia,042_Santa Fé De Antioquia,Casa,5951.0,3102.0,65.0,74.0,13.0,2579.0,102.0,4.0,12.0,0.0
05_Antioquia,042_Santa Fé De Antioquia,Apartamento,1544.0,1185.0,97.0,14.0,0.0,245.0,2.0,0.0,1.0,0.0
05_Antioquia,042_Santa Fé De Antioquia,Tipo cuarto,195.0,139.0,8.0,1.0,1.0,37.0,8.0,0.0,1.0,0.0
05_Antioquia,042_Santa Fé De Antioquia,Vivienda tradicional étnica,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
05_Antioquia,042_Santa Fé De Antioquia,Otro tipo de vivienda (1),10.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0
05_Antioquia,044_Anzá,Total,2096.0,1550.0,28.0,15.0,1.0,441.0,48.0,12.0,1.0,0.0
05_Antioquia,044_Anzá,Casa,1958.0,1434.0,25.0,15.0,1.0,428.0,47.0,7.0,1.0,0.0
05_Antioquia,044_Anzá,Apartamento,76.0,73.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
05_Antioquia,044_Anzá,Tipo cuarto,61.0,42.0,2.0,0.0,0.0,11.0,1.0,5.0,0.0,0.0
05_Antioquia,044_Anzá,Otro tipo de vivienda (1),1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,045_Apartadó,Total,34590.0,28799.0,1732.0,50.0,5.0,37.0,3877.0,5.0,76.0,9.0
05_Antioquia,045_Apartadó,Casa,16455.0,12895.0,842.0,30.0,4.0,24.0,2623.0,4.0,33.0,0.0
05_Antioquia,045_Apartadó,Apartamento,14983.0,13553.0,774.0,11.0,0.0,6.0,633.0,0.0,6.0,0.0
05_Antioquia,045_Apartadó,Tipo cuarto,3027.0,2315.0,112.0,8.0,0.0,5.0,556.0,1.0,30.0,0.0
05_Antioquia,045_Apartadó,Vivienda tradicional indígena,73.0,6.0,0.0,0.0,1.0,2.0,55.0,0.0,1.0,8.0
05_Antioquia,045_Apartadó,Vivienda tradicional étnica,10.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
05_Antioquia,045_Apartadó,Otro tipo de vivienda (1),42.0,27.0,4.0,1.0,0.0,0.0,3.0,0.0,6.0,1.0
05_Antioquia,051_Arboletes,Total,7273.0,2658.0,43.0,15.0,1.0,13.0,4511.0,11.0,21.0,0.0
05_Antioquia,051_Arboletes,Casa,6540.0,2040.0,29.0,14.0,1.0,11.0,4418.0,9.0,18.0,0.0
05_Antioquia,051_Arboletes,Apartamento,631.0,580.0,12.0,0.0,0.0,0.0,38.0,1.0,0.0,0.0
05_Antioquia,051_Arboletes,Tipo cuarto,95.0,38.0,2.0,1.0,0.0,1.0,51.0,1.0,1.0,0.0
05_Antioquia,051_Arboletes,Vivienda tradicional indígena,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
05_Antioquia,051_Arboletes,Vivienda tradicional étnica,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
05_Antioquia,051_Arboletes,Otro tipo de vivienda (1),2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
05_Antioquia,055_Argelia,Total,2245.0,1893.0,42.0,6.0,6.0,72.0,207.0,13.0,6.0,0.0
05_Antioquia,055_Argelia,Casa,2015.0,1690.0,35.0,5.0,6.0,64.0,202.0,10.0,3.0,0.0
05_Antioquia,055_Argelia,Apartamento,201.0,188.0,5.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0
05_Antioquia,055_Argelia,Tipo cuarto,26.0,15.0,2.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0
05_Antioquia,055_Argelia,Vivienda tradicional indígena,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
05_Antioquia,055_Argelia,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
05_Antioquia,059_Armenia,Total,1373.0,1275.0,9.0,13.0,0.0,73.0,2.0,1.0,0.0,0.0
05_Antioquia,059_Armenia,Casa,1247.0,1158.0,7.0,8.0,0.0,71.0,2.0,1.0,0.0,0.0
05_Antioquia,059_Armenia,Apartamento,96.0,93.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
